review_reason,invoiceNumber,slug,Invoice Details,Invoices (Item),Client Receipt,Client Payment Confirmation,company,contact,project,invoiceDate,po,total,notes,status,paymentSchedules,search,ID,Created Date,Updated Date,Owner,companyInvoice,quotation,paymentDueDate
Multiple projects found for ATEX International Exhibitions; CSV does not identify which one,INV-REV23MM-096,inv-rev23mm-096,/dashboard-invoice/inv-rev23mm-096,/public-invoice/inv-rev23mm-096/00724084-8aab-4996-b404-d46c13291eae,/receipt/inv-rev23mm-096/00724084-8aab-4996-b404-d46c13291eae,/payment-confirmation/inv-rev23mm-096/00724084-8aab-4996-b404-d46c13291eae,f9c4b9cf-50cd-44a2-ba40-f853a021b41f,2969a5b1-27f4-4a9e-bde4-8ee5ecf4dd85,,2023-10-22T16:00:00Z,N/A,1500,,Paid,,"INV-REV23MM-096, ATEX International Exhibitions",00724084-8aab-4996-b404-d46c13291eae,2023-10-23T06:50:14Z,2024-07-18T07:42:43Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc,ATEX International Exhibitions,,
No matching project/company found from CSV search text or client name,INV-25MM-024,inv-25mm-024,/dashboard-invoice/inv-25mm-024,/public-invoice/inv-25mm-024/073b9e97-d76c-4256-98f1-53bfd1db23f9,/receipt/inv-25mm-024/073b9e97-d76c-4256-98f1-53bfd1db23f9,/payment-confirmation/inv-25mm-024/073b9e97-d76c-4256-98f1-53bfd1db23f9,56eac7e9-af94-47c0-b4b1-2a4101a9b0c1,04be3f3e-1786-4d4b-a1cc-743721b3c18c,,2025-03-21T14:36:31Z,,35000,,Cancelled,,"INV-25MM-024, E L I T E Property Brokerage LLC",073b9e97-d76c-4256-98f1-53bfd1db23f9,2025-03-21T14:42:30Z,2025-05-16T10:08:33Z,01f011dc-8d52-4de4-9524-780ccef3313b,E L I T E Property Brokerage LLC,ffbda60f-b45a-4954-845b-d465a9d4de2c,
No matching project/company found from CSV search text or client name,INV-26MM-165,inv-26mm-165,/dashboard-invoice/inv-26mm-165,/public-invoice/inv-26mm-165/0aaaee04-ec4b-4eb9-ae3f-27ebcc361ea0,/receipt/inv-26mm-165/0aaaee04-ec4b-4eb9-ae3f-27ebcc361ea0,/payment-confirmation/inv-26mm-165/0aaaee04-ec4b-4eb9-ae3f-27ebcc361ea0,607cae8a-b90a-4390-8064-bf9ab5f4307e,f1720d58-5b87-45f5-bbdc-b813c2992b60,,2026-04-27T20:00:00Z,N/A,7000,,Unpaid,"[{""paymentNumber"":""RX-26MM-165"",""_id"":""b1d740d1-e981-4a90-8cbf-2730d9837bfd"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2026-03-24T11:50:29.266Z""},""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2026-03-24T11:50:29.266Z""},""amount"":7000,""company"":""607cae8a-b90a-4390-8064-bf9ab5f4307e"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""SEO Implementation "",""invoice"":""0aaaee04-ec4b-4eb9-ae3f-27ebcc361ea0"",""note"":"""",""status"":""Not Due"",""dueDate"":{""$date"":""2026-04-05T20:00:00Z""},""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-26MM-165, Aesthetics GE",0aaaee04-ec4b-4eb9-ae3f-27ebcc361ea0,2026-03-24T11:50:28Z,2026-07-06T07:33:51Z,01f011dc-8d52-4de4-9524-780ccef3313b,Aesthetics GE,c01fd419-921b-4c50-b70d-aec2258698f6,2026-04-29T20:00:00Z
Multiple projects found for 111 Group; CSV does not identify which one,INV-REV23MM-037,inv-rev23mm-037,/dashboard-invoice/inv-rev23mm-037,/public-invoice/inv-rev23mm-037/0c390535-3996-44be-94e4-c03b882cbdfc,/receipt/inv-rev23mm-037/0c390535-3996-44be-94e4-c03b882cbdfc,/payment-confirmation/inv-rev23mm-037/0c390535-3996-44be-94e4-c03b882cbdfc,75be43f0-4a3a-44ed-8e43-cfe7fe4615c2,c9e0cac3-097a-4ee7-8cac-67b340fa96ef,40d2ce84-0ea5-480d-838a-5b02e2400760,2023-03-06T20:00:00Z,,100000,,Paid,"[{""_id"":""20221bc8-0a22-4eba-8ee3-a817277354d5"",""_owner"":""e168cbe8-c8cb-4ec3-b920-be764ec09acc"",""_createdDate"":{""$date"":""2023-03-07T14:26:18.685Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2023-04-17T20:51:21.291Z""},""amount"":100000,""company"":""75be43f0-4a3a-44ed-8e43-cfe7fe4615c2"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Full Payment"",""invoice"":""0c390535-3996-44be-94e4-c03b882cbdfc"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2023-03-06T16:00:00Z""},""paymentDate"":{""$date"":""2023-03-07T16:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-REV23MM-037, 111 Group",0c390535-3996-44be-94e4-c03b882cbdfc,2023-03-07T14:24:19Z,2025-08-13T07:20:20Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc,111 Group,,
Multiple projects found for Montalbano Dubai; CSV does not identify which one,INV-26MM-178,inv-26mm-178,/dashboard-invoice/inv-26mm-178,/public-invoice/inv-26mm-178/10f115fa-6ae5-4e39-b80f-0f393a899bb1,/receipt/inv-26mm-178/10f115fa-6ae5-4e39-b80f-0f393a899bb1,/payment-confirmation/inv-26mm-178/10f115fa-6ae5-4e39-b80f-0f393a899bb1,c571caf6-a52d-4335-8317-8fd08f3739f4,f7ad2f86-ce4d-447e-bcb6-1b7180a7cfef,,2026-05-27T20:00:00Z,N/A,8400,,Unpaid,,"INV-26MM-178, undefined, Montalbano Dubai",10f115fa-6ae5-4e39-b80f-0f393a899bb1,2026-04-30T11:29:41Z,2026-07-06T07:58:47Z,01f011dc-8d52-4de4-9524-780ccef3313b,Montalbano Dubai,,2026-05-28T20:00:00Z
Multiple projects found for Just Bespoke; CSV does not identify which one,INV-REV23MM-052,inv-rev23mm-052,/dashboard-invoice/inv-rev23mm-052,/public-invoice/inv-rev23mm-052/27974d7e-40cf-48a5-b3a6-09677b1eb984,/receipt/inv-rev23mm-052/27974d7e-40cf-48a5-b3a6-09677b1eb984,/payment-confirmation/inv-rev23mm-052/27974d7e-40cf-48a5-b3a6-09677b1eb984,95e395d7-0d71-4943-aab0-4d2e8bb091f8,09cea7d5-f022-4638-a423-4898ec5bb593,1365d7c3-7012-4c15-831d-2cf128ed9637,2023-05-14T16:00:00Z,1,18900,,Paid,"[{""_id"":""def9b383-eac1-4343-adc8-0bf5c6e6f963"",""_owner"":""e168cbe8-c8cb-4ec3-b920-be764ec09acc"",""_createdDate"":{""$date"":""2023-05-15T13:54:23.625Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2023-05-17T11:11:31.157Z""},""amount"":18900,""company"":""95e395d7-0d71-4943-aab0-4d2e8bb091f8"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Immediate Payment"",""invoice"":""27974d7e-40cf-48a5-b3a6-09677b1eb984"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2023-05-15T16:00:00Z""},""paymentDate"":{""$date"":""2023-05-16T16:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-REV23MM-052, Just Bespoke",27974d7e-40cf-48a5-b3a6-09677b1eb984,2023-05-15T13:47:29Z,2024-02-25T23:16:38Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc,Just Bespoke,,
No matching project/company found from CSV search text or client name,INV-25MM-032,inv-25mm-032,/dashboard-invoice/inv-25mm-032,/public-invoice/inv-25mm-032/2bbae55d-07b8-4131-a738-6ca9813ce178,/receipt/inv-25mm-032/2bbae55d-07b8-4131-a738-6ca9813ce178,/payment-confirmation/inv-25mm-032/2bbae55d-07b8-4131-a738-6ca9813ce178,56eac7e9-af94-47c0-b4b1-2a4101a9b0c1,04be3f3e-1786-4d4b-a1cc-743721b3c18c,,2025-04-25T08:33:59Z,,30450,,Cancelled,"[{""paymentNumber"":""RX-25MM-032"",""percentage"":1,""_id"":""3cc42753-3333-4e36-a11d-5ad1c60c6b2c"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-04-25T08:36:28.017Z""},""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-04-30T08:10:48.836Z""},""amount"":30450,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Due for Payment"",""invoice"":""2bbae55d-07b8-4131-a738-6ca9813ce178"",""note"":"""",""status"":""Due"",""dueDate"":{""$date"":""2025-04-24T20:00:00Z""},""invoiceStatus"":""Cancelled"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-25MM-032, E L I T E Property Brokerage LLC",2bbae55d-07b8-4131-a738-6ca9813ce178,2025-04-25T08:35:16Z,2025-05-16T10:08:11Z,01f011dc-8d52-4de4-9524-780ccef3313b,E L I T E Property Brokerage LLC,f40a9018-8813-4393-8115-4ee59aa004a1,
Multiple projects found for The Espresso Lab; CSV does not identify which one,INV-25MM-079,inv-25mm-079,/dashboard-invoice/inv-25mm-079,/public-invoice/inv-25mm-079/2f8684bf-708a-4eaf-a1e8-7c71a69b43d1,/receipt/inv-25mm-079/2f8684bf-708a-4eaf-a1e8-7c71a69b43d1,/payment-confirmation/inv-25mm-079/2f8684bf-708a-4eaf-a1e8-7c71a69b43d1,d1c3e9fa-7874-4a80-8114-14445e93de6d,6543f67e-e204-493d-a508-d24a62d8bdff,,2026-02-05T20:00:00Z,N/A,61897.5,,Partial,"[{""percentage"":0.4,""_id"":""5aa12fa2-5e40-4116-bf0e-035662c1d0dc"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-08-12T08:08:44.771Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-12-15T08:10:33.130Z""},""amount"":24759,""company"":""d1c3e9fa-7874-4a80-8114-14445e93de6d"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Initial Payment"",""invoice"":""2f8684bf-708a-4eaf-a1e8-7c71a69b43d1"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2026-02-05T20:00:00Z""},""paymentDate"":{""$date"":""2025-08-13T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":0.3,""_id"":""ca987588-974b-4d9f-807d-e037af228939"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-08-12T08:09:09.790Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-12-15T08:10:56.847Z""},""amount"":18569.25,""company"":""d1c3e9fa-7874-4a80-8114-14445e93de6d"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""2nd Intallment"",""invoice"":""2f8684bf-708a-4eaf-a1e8-7c71a69b43d1"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2026-02-05T20:00:00Z""},""paymentDate"":{""$date"":""2025-12-14T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":null,""_id"":""fbf02f6d-3e3c-409b-88e7-cca754db7cca"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-08-12T08:09:25.544Z""},""paymentMethod"":"""",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2026-02-06T08:34:33.008Z""},""amount"":18569.25,""company"":""d1c3e9fa-7874-4a80-8114-14445e93de6d"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Final Payment"",""invoice"":""2f8684bf-708a-4eaf-a1e8-7c71a69b43d1"",""note"":"""",""status"":""Due"",""dueDate"":{""$date"":""2026-02-05T20:00:00Z""},""paymentDate"":null,""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-25MM-079, undefined, The Espresso Lab",2f8684bf-708a-4eaf-a1e8-7c71a69b43d1,2025-08-12T06:26:38Z,2026-05-01T09:59:37Z,01f011dc-8d52-4de4-9524-780ccef3313b,The Espresso Lab,,2026-02-11T20:00:00Z
Multiple projects found for LUXURY DROP PARFUM L.L.C; CSV does not identify which one,INV-REV23MM-066,inv-rev23mm-066,/dashboard-invoice/inv-rev23mm-066,/public-invoice/inv-rev23mm-066/2f8b2c03-3149-4ec2-a4e4-b1e64278b596,/receipt/inv-rev23mm-066/2f8b2c03-3149-4ec2-a4e4-b1e64278b596,/payment-confirmation/inv-rev23mm-066/2f8b2c03-3149-4ec2-a4e4-b1e64278b596,8d470f66-352c-4a1b-8668-774da3c08e70,cce2f2f0-fe68-4787-9a27-086de2d2d271,8f51805b-43e2-4878-abd0-453a93529c36,2023-07-02T16:00:00Z,1,2000,,Paid,"[{""_id"":""e1ec1a8a-5b6f-4733-95d5-ce58acd11a96"",""_owner"":""e168cbe8-c8cb-4ec3-b920-be764ec09acc"",""_createdDate"":{""$date"":""2023-07-03T05:06:38.339Z""},""paymentMethod"":""3b10f3fc-ba88-415d-b2a9-024cd41f5268"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2023-07-05T05:26:57.364Z""},""amount"":2000,""company"":""8d470f66-352c-4a1b-8668-774da3c08e70"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""100% Immediate Payment"",""invoice"":""2f8b2c03-3149-4ec2-a4e4-b1e64278b596"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2023-07-02T16:00:00Z""},""paymentDate"":{""$date"":""2023-07-04T16:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-REV23MM-066, Luxury Oudh",2f8b2c03-3149-4ec2-a4e4-b1e64278b596,2023-07-03T05:00:10Z,2024-08-25T12:18:58Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc,LUXURY DROP PARFUM L.L.C,,
No matching project/company found from CSV search text or client name,INV-24MM-117,inv-24mm-117,/dashboard-invoice/inv-24mm-117,/public-invoice/inv-24mm-117/4ca5158d-6b52-41fd-8d0f-470130d0d200,/receipt/inv-24mm-117/4ca5158d-6b52-41fd-8d0f-470130d0d200,/payment-confirmation/inv-24mm-117/4ca5158d-6b52-41fd-8d0f-470130d0d200,f967cd9d-76eb-44f9-a0c7-cbd6acf68b97,15fc7592-377d-4184-ab1e-3e0f4823f28a,,2024-11-27T20:00:00Z,N/A,52000,,Partial,"[{""paymentNumber"":""RX-24MM-117"",""percentage"":0,""_id"":""230c5f00-a8a4-4e6d-857d-a5e02fb6b1df"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2024-12-12T11:12:12.416Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2024-12-12T11:12:28.915Z""},""amount"":5000,""company"":""f967cd9d-76eb-44f9-a0c7-cbd6acf68b97"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Initial for Soc Med - December 2024"",""invoice"":""4ca5158d-6b52-41fd-8d0f-470130d0d200"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2024-11-27T20:00:00Z""},""paymentDate"":{""$date"":""2024-12-05T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""paymentNumber"":""RX-24MM-117"",""percentage"":null,""_id"":""fed98bf2-b887-41e5-89e2-6a0bdd992154"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2024-12-12T11:10:29.967Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2024-12-12T11:11:29.185Z""},""amount"":9000,""company"":""f967cd9d-76eb-44f9-a0c7-cbd6acf68b97"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Initial for Website E-Commerce"",""invoice"":""4ca5158d-6b52-41fd-8d0f-470130d0d200"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2024-11-27T20:00:00Z""},""paymentDate"":{""$date"":""2024-12-05T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]",INV-24MM-117 - LMN Clothing FZ-LLC - Social Media Marketing & Web Development,4ca5158d-6b52-41fd-8d0f-470130d0d200,2024-11-28T09:30:02Z,2025-12-12T10:06:34Z,01f011dc-8d52-4de4-9524-780ccef3313b,LMN,00324fda-cc6d-4a50-bc13-00fc9aa0b115,
