review_reason,invoice,productType,notes,price,quantity,amount,Title,ID,Created Date,Updated Date,Owner
Parent invoice e9eba498-c1a3-48bb-9389-8cdecf5a379e is not in the invoices CSV,e9eba498-c1a3-48bb-9389-8cdecf5a379e,3393a717-a333-48a2-a785-ba2eebc00f68,"<p><span style=""font-weight:bold"">Development</span></p><p>Main Pages &amp; Landing Pages</p><p>Arabic Language Switcher</p><p>Projects Repeater</p><p>Blog Setup</p><p>Basic SEO Setup &amp; Connetion</p>",14800,1,14800,,0031b138-5f93-4dc2-b604-063aa2a0ce8c,2023-01-23T11:17:16Z,2023-01-23T11:28:39Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice c872c9c8-3873-4bb4-a61e-8c0629ef9f83 is blocked because its project match is unresolved,c872c9c8-3873-4bb4-a61e-8c0629ef9f83,5adee711-6197-4bbf-b057-460cfbc157db,<p>One-Pager Document - Elite Vacations</p>,50,1,50,,0338f536-9c64-4b7b-b0c4-fc7e98ed440d,2025-05-16T07:20:33Z,2025-05-16T07:20:33Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 2bbae55d-07b8-4131-a738-6ca9813ce178 is blocked because its project match is unresolved,2bbae55d-07b8-4131-a738-6ca9813ce178,9ce7b764-0240-4003-b858-3a24dc3e71f3,"<p><span style=""font-weight:bold"">Programmatic Campaign Management</span></p><p><span style=""font-weight:bold"">Target: 20-30 Registrations</span></p><p> </p><p>Campaign Optimization</p><p>Campaign Overwatch</p><p>Campaign Reporting</p><p>Campaign and Lead Tracking</p>",8000,1,8000,,0563f24b-249d-4564-9c73-9417562fd1f8,2025-04-25T08:35:16Z,2025-04-25T08:35:16Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 74645202-84ef-432c-ba47-c68978547851 is blocked because its project match is unresolved,74645202-84ef-432c-ba47-c68978547851,3393a717-a333-48a2-a785-ba2eebc00f68,"<p><span style=""font-weight:bold"">Scope of Work</span></p><ul><li>Create A field for the WIX App CRM to handle Gender options</li><li>Create Prompts and validation for pages needed to specify a gender</li><li>Configure the full CRM Database</li></ul><p> </p><p><span style=""font-weight:bold"">Note:</span> </p><p>Mutant will handle the backend development and ensure that any popups or fields we create are aligned with your current design.</p>",1000,1,1000,,0b2e7fe1-4f40-466a-9a84-f947c3223d46,2025-11-05T11:05:26Z,2025-11-05T11:05:33Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 8abdd507-3ecf-46df-bb46-ab972fa0b993 is blocked because its project match is unresolved,8abdd507-3ecf-46df-bb46-ab972fa0b993,cb3328a7-5aff-4fe7-921f-b585c4163dc8,,160,1,160,,0e9dca52-639a-4b23-a1ff-a485d7d2cade,2024-03-06T07:29:55Z,2024-03-06T07:29:55Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 62e7e98e-6f86-4ada-a464-7bf41e4e6950 is blocked because its project match is unresolved,62e7e98e-6f86-4ada-a464-7bf41e4e6950,9ce7b764-0240-4003-b858-3a24dc3e71f3,<p>Google - Agency Fee</p>,5000,1,5000,,0ff6a458-6bec-4cf9-86eb-7793206b7f65,2023-04-27T10:57:42Z,2023-04-27T11:06:16Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice 60fa59e1-43fa-4ee9-8a64-f60438b430b6 is blocked because its project match is unresolved,60fa59e1-43fa-4ee9-8a64-f60438b430b6,3393a717-a333-48a2-a785-ba2eebc00f68,"<p><span style=""font-weight:bold"">Property Listing</span></p><p>-	Able to Create listing with specific details such as </p><p>•	Photos upload – Bulk or single</p><p>•	Price based on system currency</p><p>•	Location – accuracy based (geotagging/geolocation if necessary)</p><p>•	Bedroom/bathrooms count</p><p>•	Dimensions</p><p>•	Any Additional Text Areas for information</p><p> </p><p><span style=""font-weight:bold"">Listing Management</span></p><p>-	Design a detailed view for each listing, displaying all property details and photos in a clear and organized layout.</p><p>-	Edit and update each listings</p><p> </p><p><span style=""font-weight:bold"">User Accounts</span></p><p>-	User Registration and Logins</p><p>-	Specific Roles (if applicable)</p><p>-	Various authentication such as OTP / Email (if needed)</p><p> </p><p><span style=""font-weight:bold"">Profile Management</span></p><p>-	Able to view Specific details of the Customer/User such as</p><p>•	Profile Overview</p><p>•	Profile Details (Update/ Delete information)</p><p>•	Profile Image Upload</p><p>•	Password Change</p><p> </p><p><span style=""font-weight:bold"">Search and Filter</span></p><p>-	Able to search specific listings/property via phrases or keywords</p><p>-	Auto-suggestion</p><p>-	Able to provide Provide a variety of filter options to refine search results based on different criteria (e.g., location, price range, property type).</p><p> </p><p><span style=""font-weight:bold"">Advanced Filtering</span></p><p>-	Offer advanced filtering options for users who want to narrow down search results further.</p><p>-	Include filters for specific amenities, property features, or other custom criteria.</p><p> </p><p><span style=""font-weight:bold"">Property Details</span></p><p>-	Able to view Specific details of Properties such as</p><p>•	Property Overview</p><p>•	Property Details</p><p> </p><p><span style=""font-weight:bold"">Map View</span></p><p>-	Detailed Map Integration using Google Maps API via Geotagging/Geolocation (GPS if needed)</p><p> </p><p><span style=""font-weight:bold"">Favorites and Alerts</span></p><p>-	Save any tagged listing as favorite </p><p>-	Received alerts or notification with the same details as the saved property</p><p>-	Receive alerts or notifications for changes regarding the favorites property</p><p> </p><p><span style=""font-weight:bold"">Alerts and Notifications</span></p><p>-	Saved search functionality that’s able to alert/notify user for any specific listing preferences</p><p> </p><p><span style=""font-weight:bold"">Contact and Inquiries</span></p><p>-	Able to receive any inquiries via contact Form on a specific Page</p><p>-	Able to contact the owner of listing directly</p><p> </p><p><span style=""font-weight:bold"">Advanced Map Functionality</span></p><p><span style=""font-weight:bold"">-	Neighborhood overlays, points of interest, drop box for location selection (countries, cities, regions), crime maps</span></p><p> </p><p><span style=""font-weight:bold"">Market Analytics and Insights</span></p><p>-	Able to show Different demographics and statistics of property such as</p><p>•	Price history</p><p>•	CMA</p><p>•	Number of Sellers vs Buyers</p><p>•	Any other Market KPI</p><p> </p><p><span style=""font-weight:bold"">Financial Tools</span></p><p>-	Able to create a mortgage and financing assistance via calculator of the following:</p><p>•	Pre-qualified</p><p>•	Loan comparison</p><p>•	Refinancing</p><p> </p><p><span style=""font-weight:bold"">User Engagement and Interaction</span></p><p>-	Able to provide Reviews and ratings per listing</p><p>-	FAQ Section</p><p> </p><p><span style=""font-weight:bold"">Virtual and Augmented Reality Tours</span></p><p>-	Provide a 3d Rendered of the Property/listing (if needed)</p><p>-	AR Feature for furnitures or renovations visualization (if applicable)</p><p> </p><p><span style=""font-weight:bold"">Agent and Broker Features</span></p><p>-	Agent Profile Ratings</p><p>-	Agent Contact details</p><p>-	Able to create and provide a lead generation Tool</p><p> </p><p><span style=""font-weight:bold"">Social Integration and Sharing</span></p><p>-	Social share of listing on different social networks</p><p>-	Collaborative Wishlist</p><p>-	Social share of experience and reviews</p><p> </p><p><span style=""font-weight:bold"">Accessibility Features</span></p><p>-	Multi Language Support</p><p> </p><p><span style=""font-weight:bold"">Environmental and Sustainability Information</span></p><p>-	Highlight specific information regarding ESI standards and provide the property sustainability scores via icons or numerical figures</p><p> </p><p><span style=""font-weight:bold"">Responsiveness</span></p><p>-	Responsiveness Via Mobile and Tablet</p><p>-	Responsiveness via different Desktop sizes</p><p> </p><p> </p>",300000,1,300000,,117c48eb-e7d7-4d5c-a273-3d5a874b5c48,2024-04-04T05:47:57Z,2024-04-04T05:47:57Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 2f8684bf-708a-4eaf-a1e8-7c71a69b43d1 is blocked because its project match is unresolved,2f8684bf-708a-4eaf-a1e8-7c71a69b43d1,3393a717-a333-48a2-a785-ba2eebc00f68,"<p><span style=""font-weight:bold"">Laravel-based E-Commerce, wholesale and QC Platform</span></p><p> </p><p><span style=""font-weight:bold"">1.</span> <span style=""font-weight:bold"">UI/UX Design</span></p><p>Custom UI/UX for web (responsive). includes 2 refinement rounds</p><p> </p><p><span style=""font-weight:bold"">2.</span> <span style=""font-weight:bold"">Development</span></p><p>Full Laravel build with frontend and backend Includes all B2C, Wholesale, Admin &amp; QC functionalities</p><p>· Stripe &amp; bank transfer payment gateways</p><p>· Multi-language support</p><p>· Email notifications</p><p>· Features include product filtering, booking engine, inventory, QC modules, wholesale profiles, admin management, course booking engine, roasting profile PDFs, customer feedback on QC, blog/news module, and more.</p><p> </p><p><span style=""font-weight:bold"">3. Shipment Integration</span></p><p>Integration with DHL &amp; 1 Local courier. Includes scheduling logic and shipping APIs May be expedited with valid DHL credentials</p><p> </p><p><span style=""font-weight:bold"">4. Testing</span></p><p>Manual QA on all features, payment flows and responsive views. Final bug-fix and polish before launch.</p><p>-Included in development</p><p> </p><p><span style=""font-weight:bold"">5. Basic SEO Setup</span></p><p>Clean URLs, meta setup, on-page SEO essentials.</p><p> </p>",58950,1,58950,,122542a2-7662-45c5-91e5-d42084354010,2025-08-12T08:06:58Z,2025-08-12T08:06:58Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 5ae46c66-972a-4f87-99e0-aaf37fafc6b5 is not in the invoices CSV,5ae46c66-972a-4f87-99e0-aaf37fafc6b5,74bc6f85-06a7-480e-a30e-155b42f29627,"<p><span style=""font-weight:bold"">Editor X Premium &amp; Hosting</span></p>",2775,1,2775,,12490c1a-5ef8-469d-ac30-9e8f1b7e6a64,2023-01-23T11:42:39Z,2023-01-23T11:42:39Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice 1c15de4e-a4e2-418f-937b-b6bd37bbbcbc is not in the invoices CSV,1c15de4e-a4e2-418f-937b-b6bd37bbbcbc,3393a717-a333-48a2-a785-ba2eebc00f68,"<p class=""font_8""><strong>Laravel Hosting</strong></p>
<ul class=""font_8"">
  <li><p class=""font_8"">Deployment Hosting (Annual Fee)</p></li>
</ul>",1500,1,1500,,16d6e357-09a5-47ed-95d2-2bcbe7924fdc,2023-05-24T04:27:56Z,2023-06-05T11:13:20Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
